ムーリエルは２０歳になりました。	ムーリエル は ２０歳 に なりました 。
すぐに戻ります。	すぐ に 戻ります 。
すぐに諦めて昼寝をするかも知れない。	すぐ に 諦めて 昼寝 を する かも 知れない 。
誰にでも長所と短所がある。	誰 に でも 長所 と 短所 が ある 。
「どうかしたの？」と小さい白いウサギが聞きました。	「 どうか した の ？ 」 と 小さい 白い ウサギ が 聞きました 。
「信用して」と彼は言った。	「 信用 して 」 と 彼 は 言った 。
「これが探していたものだ」と彼は叫んだ。	「 これ が 探して いた もの だ 」 と 彼 は 叫んだ 。	
「これはとてもおもしろそうだね」とひろしが言います。	「 これ は とても おもしろそう だ ね 」 と ひろし が 言います 。
彼らのコミュニケーションは我々が考えてきたものよりはるかに複雑かもしれません。	彼ら の コミュニケーション は 我々 が 考えて きた もの より はるか に 複雑 かも しれません 。
またいつか風のように走るんだ。	また いつか 風 の よう に 走る んだ 。 	
お願いだから泣かないで。	お願い だ から 泣かないで 。
私たちがそこへ行くかどうかを決めるのは君の責任だ。	私たち が そこ へ 行く か どう か を 決める の は 君 の 責任 だ 。	
授業は八時三十分から始まるから。	授業 は 八 時 三十 分 から 始まる から 。
日本人ならそんなことはけっしてしないでしょう。	日本人 なら そんな こと は けっして しない でしょう 。
「ｐｒｅｔｔｙ」の綴りは？	「 ｐｒｅｔｔｙ 」 の 綴り は ？
家に帰りましょうか。	家 に 帰りましょう か 。
申し訳ないけど長居できないんですよ。	申し訳ない けど 長居 できない んです よ 。	
１０年は待つには長い時間だ。	１ ０ 年 は 待つ に は 長い 時間 だ 。
１００万人の人々がその戦争で命を落とした。	１ ０ ０ 万人 の 人々 が その 戦争 で 命 を 落とした 。	
３年前に東京へ来て以来ここに住んでいる。	３年 前 に 東京 へ 来て 以来 ここ に 住んで いる 。	



